path	loc	public_exports
agent/lsp/workspace.py	223	clear_cache,find_git_worktree,is_inside_workspace,nearest_root,normalize_path,resolve_workspace_for_file
agent/manual_compression_feedback.py	49	summarize_manual_compression
agent/markdown_tables.py	309	is_table_divider,looks_like_table_row,realign_markdown_tables,split_table_row
agent/memory_manager.py	609	build_memory_context_block,MemoryManager,sanitize_context,StreamingContextScrubber
agent/memory_provider.py	279	MemoryProvider
agent/message_sanitization.py	444	
agent/model_metadata.py	1828	detect_local_server_type,estimate_messages_tokens_rough,estimate_request_tokens_rough,estimate_tokens_rough,fetch_endpoint_model_metadata,fetch_model_metadata,get_cached_context_length,get_model_context_length,get_next_probe_tier,grok_supports_reasoning_effort,is_local_endpoint,parse_available_output_tokens_from_error,parse_context_limit_from_error,query_ollama_num_ctx,save_context_length
agent/models_dev.py	726	fetch_models_dev,get_model_capabilities,get_model_info,get_provider_info,list_agentic_models,list_provider_models,lookup_models_dev_context,ModelCapabilities,ModelInfo,ProviderInfo
agent/moonshot_schema.py	262	is_moonshot_model,sanitize_moonshot_tool_parameters,sanitize_moonshot_tools
agent/nous_rate_guard.py	325	clear_nous_rate_limit,format_remaining,is_genuine_nous_rate_limit,nous_rate_limit_remaining,record_nous_rate_limit
agent/onboarding.py	193	busy_input_hint_cli,busy_input_hint_gateway,detect_openclaw_residue,is_seen,mark_seen,openclaw_residue_hint_cli,tool_progress_hint_cli,tool_progress_hint_gateway
agent/plugin_llm.py	1046	make_plugin_llm_for_test,PluginLlm,PluginLlmCompleteResult,PluginLlmImageInput,PluginLlmStructuredResult,PluginLlmTextInput,PluginLlmTrustError,PluginLlmUsage
agent/portal_tags.py	64	hermes_client_tag,nous_portal_tags
agent/process_bootstrap.py	167	
agent/prompt_builder.py	1465	build_context_files_prompt,build_environment_hints,build_nous_subscription_prompt,build_skills_system_prompt,clear_skills_system_prompt_cache,load_soul_md
agent/prompt_caching.py	79	apply_anthropic_cache_control
agent/rate_limit_tracker.py	246	format_rate_limit_compact,format_rate_limit_display,parse_rate_limit_headers,RateLimitBucket,RateLimitState
agent/redact.py	467	mask_secret,redact_sensitive_text,RedactingFormatter
agent/retry_utils.py	57	jittered_backoff
agent/secret_sources/__init__.py	13	
agent/secret_sources/bitwarden.py	515	apply_bitwarden_secrets,fetch_bitwarden_secrets,FetchResult,find_bws,install_bws
